surface	reading	status	reason
認知	にんち	approved	
形式	けいしき	approved	
委託	いたく	approved	
規制	きせい	approved	
発言	はつげん	approved	
表記	ひょうき	approved	
支給	しきゅう	approved	
議論	ぎろん	approved	
中止	ちゅうし	approved	
領域	りょういき	approved	
配布	はいふ	approved	
解析	かいせき	approved	
記入	きにゅう	approved	
供給	きょうきゅう	approved	
手段	しゅだん	approved	
香り	かおり	approved	
引用	いんよう	approved	
解釈	かいしゃく	approved	
記述	きじゅつ	approved	
点検	てんけん	approved	
公表	こうひょう	approved	
批判	ひはん	approved	
対戦	たいせん	approved	
期限	きげん	approved	
事情	じじょう	approved	
協議	きょうぎ	approved	
査定	さてい	approved	
模様	もよう	approved	
故障	こしょう	approved	
態度	たいど	approved	
輸送	ゆそう	approved	
拒否	きょひ	approved	
箇所	かしょ	approved	
探索	たんさく	approved	
中身	なかみ	approved	
限界	げんかい	approved	
給付	きゅうふ	approved	
規格	きかく	approved	
概念	がいねん	approved	
観測	かんそく	approved	
改良	かいりょう	approved	
対話	たいわ	approved	
日程	にってい	approved	
命令	めいれい	held	definition omits the computing sense
証拠	しょうこ	approved	
保障	ほしょう	approved	
捜査	そうさ	approved	
発音	はつおん	approved	
用語	ようご	approved	
応答	おうとう	approved	
告知	こくち	held	definition is narrower than formal notice to a specific party
補償	ほしょう	approved	
部位	ぶい	approved	
時刻	じこく	approved	
水準	すいじゅん	approved	
根拠	こんきょ	approved	
賠償	ばいしょう	approved	
改定	かいてい	approved	
実証	じっしょう	approved	
意義	いぎ	approved	
矛盾	むじゅん	approved	
審議	しんぎ	approved	
運送	うんそう	approved	
掲示	けいじ	approved	
休止	きゅうし	approved	
運搬	うんぱん	approved	
延期	えんき	approved	
対照	たいしょう	approved	
受け取り	うけとり	approved	
返答	へんとう	approved	
匂い	におい	approved	
承知	しょうち	approved	
許諾	きょだく	approved	
刊行	かんこう	approved	
改訂	かいてい	approved	
着手	ちゃくしゅ	approved	
続行	ぞっこう	approved	
提言	ていげん	held	definition incorrectly requires public presentation
事象	じしょう	approved	
了解	りょうかい	approved	
置換	ちかん	approved	
受取	うけとり	approved	
保留	ほりゅう	approved	
批評	ひひょう	approved	
辞退	じたい	approved	
作製	さくせい	approved	
傷害	しょうがい	approved	
受理	じゅり	approved	
拒絶	きょぜつ	approved	
破天荒	はてんこう	approved	
刷新	さっしん	approved	
跡地	あとち	approved	
討論	とうろん	approved	
照合	しょうごう	approved	
蛇足	だそく	approved	
発声	はっせい	approved	
要綱	ようこう	approved	
時季	じき	approved	
対称	たいしょう	approved	
頒布	はんぷ	approved	
変更点	へんこうてん	approved	
音読	おんどく	approved	
表題	ひょうだい	approved	
題名	だいめい	approved	
体勢	たいせい	approved	
立証	りっしょう	approved	
指南	しなん	approved	
忠告	ちゅうこく	approved	
杞憂	きゆう	approved	
お越しください	おこしください	approved	
語句	ごく	approved	
個所	かしょ	approved	
ご覧ください	ごらんください	approved	
意気投合	いきとうごう	approved	
標記	ひょうき	held	definition focuses on business-reference usage and omits the marking sense
態様	たいよう	approved	
過ち	あやまち	approved	
異状	いじょう	approved	
弁明	べんめい	approved	
快諾	かいだく	approved	
所感	しょかん	approved	
推敲	すいこう	approved	
登竜門	とうりゅうもん	approved	
器械	きかい	approved	
失策	しっさく	approved	
標題	ひょうだい	approved	
摘要	てきよう	approved	
温故知新	おんこちしん	approved	
旧跡	きゅうせき	approved	
時節	じせつ	approved	
大器晩成	たいきばんせい	approved	
以心伝心	いしんでんしん	approved	
白眉	はくび	approved	
八方塞がり	はっぽうふさがり	approved	
背水の陣	はいすいのじん	approved	
領分	りょうぶん	approved	
犬猿の仲	けんえんのなか	approved	
四面楚歌	しめんそか	approved	
七転び八起き	ななころびやおき	approved	
塞翁が馬	さいおうがうま	approved	
一蓮托生	いちれんたくしょう	approved	
臥薪嘗胆	がしんしょうたん	approved	
呉越同舟	ごえつどうしゅう	approved	
謝絶	しゃぜつ	approved	
守株	しゅしゅ	approved	
拝承	はいしょう	approved	
踏んだり蹴ったり	ふんだりけったり	approved	
急がば回れ	いそがばまわれ	approved	
終わり	おわり	approved	
薫り	かおり	approved	
画竜点睛	がりょうてんせい	approved	
鶏肋	けいろく	approved	
三顧の礼	さんこのれい	approved	
朝三暮四	ちょうさんぼし	approved	
灯台下暗し	とうだいもとくらし	approved	
羊頭狗肉	ようとうくにく	approved	
竜頭蛇尾	りゅうとうだび	approved	
蛙の子は蛙	かえるのこはかえる	approved	
二兎を追う者は一兎をも得ず	にとをおうものはいっとをもえず	approved	
