status	reading	surface	reason
held	ゆうき	幽鬼	candidate_absent_from_current_dictionary
held	ゆうしゅう	幽囚	candidate_absent_from_current_dictionary
held	ゆうどう	融導	candidate_absent_from_current_dictionary
held	ようか	洋貨	candidate_absent_from_current_dictionary
held	ようせき	溶石	candidate_absent_from_current_dictionary
held	りかい	離開	candidate_absent_from_current_dictionary
held	りし	理事	candidate_absent_from_current_dictionary
held	りゅうし	流し	candidate_absent_from_current_dictionary
held	りょう	漁	candidate_absent_from_current_dictionary
held	りょう	寮	candidate_absent_from_current_dictionary
held	りょうこう	良港	candidate_absent_from_current_dictionary
held	れんそう	連奏	candidate_absent_from_current_dictionary
held	ろうどう	郎党	candidate_absent_from_current_dictionary
